archetype|archetypeURL|lastDeck
Broken World|Broken%20World|0
Budget|Budget|0
Bugroth|Bugroth|0
Buijin|Buijin|0
Bujin|Bujin|0
Burn|Burn|0
Burning Abyss|Burning%20Abyss|0
Butterfly|Butterfly|0
Butterspy|Butterspy|0
Bystial|Bystial|0
Cardian|Cardian|0
Cataclysmic|Cataclysmic|0
Celtic Guard|Celtic%20Guard|0
Centur-Ion|Centur-Ion|0
Chaos|Chaos|0
Chaos Phantom|Chaos%20Phantom|0
Charmer|Charmer|0
Chemicritter|Chemicritter|0
Chimera|Chimera|0
Chronomaly|Chronomaly|0
Chrysalis|Chrysalis|0
Cipher|Cipher|0
Circular|Circular|0
Classic|Classic|0
Clear|Clear|0
Clear Wing|Clear%20Wing|0
Cloudian|Cloudian|0
Code Talker|Code%20Talker|0
Codebreaker|Codebreaker|0
Combo|Combo|0
Constellar|Constellar|0
Contact|Contact|0
Continuous Traps|Continuous%20Traps|0
Control|Control|0
Counter|Counter|0
Counter Fairy|Counter%20Fairy|0
Crusadia|Crusadia|0
Crystal|Crystal|0
Crystal Beast|Crystal%20Beast|0
Crystron|Crystron|0
Cubic|Cubic|0
Cupid|Cupid|0
Curse Of Dragon|Curse%20Of%20Dragon|0
CXyz|CXyz|0
Cyber|Cyber|0
Cyber Angel|Cyber%20Angel|0
Cyber Dragon|Cyber%20Dragon|0
Cyber-Stein|Cyber-Stein|0
Cyberdark|Cyberdark|0
Cyberse|Cyberse|0
Cynet|Cynet|0
D.D.|D.D.|0
D/D|D/D|0
D/D/D|D/D/D|0
Danger!|Danger%21|0
Dark Contract|Dark%20Contract|0
Dark Counterpart|Dark%20Counterpart|0
Dark Magician|Dark%20Magician|0
Dark Scorpion|Dark%20Scorpion|0
Dark World|Dark%20World|0
Darklord|Darklord|0
Deck Destruction|Deck%20Destruction|0
Deck Guide|Deck%20Guide|0
Deep Sea|Deep%20Sea|0
Demise|Demise|0
Deskbot|Deskbot|0
Deskbots|Deskbots|0
Despia|Despia|0
Destiny HERO|Destiny%20HERO|0
Destruction Sword|Destruction%20Sword|0
