|archetype|archetypeURL|count
147|Dice|Dice|0
148|Different Dimension|Different%20Dimension|0
149|Digital Bug|Digital%20Bug|0
150|Digital Bugs|Digital%20Bugs|0
151|Dinomist|Dinomist|0
152|Dinomorphia|Dinomorphia|0
153|Dinoruffia|Dinoruffia|0
154|Dinosaur|Dinosaur|0
155|Dinowrestler|Dinowrestler|0
156|Divine Dragon|Divine%20Dragon|0
157|Djinn|Djinn|0
158|Dododo|Dododo|0
159|Dogmatika|Dogmatika|0
160|Doll|Doll|0
161|Doll Monster|Doll%20Monster|0
162|Doodle Beast|Doodle%20Beast|0
163|Doodlebook|Doodlebook|0
164|Doremichord|Doremichord|0
165|Doriado|Doriado|0
166|Draco|Draco|0
167|Draconia|Draconia|0
168|Dracoslayer|Dracoslayer|0
169|Dracoverlord|Dracoverlord|0
170|Dragon|Dragon|0
171|Dragon Link|Dragon%20Link|0
172|Dragonmaid|Dragonmaid|0
173|Dragunity|Dragunity|0
174|Dream Mirror|Dream%20Mirror|0
175|Drytron|Drytron|0
176|Dual Avatar|Dual%20Avatar|0
177|Duel Links|Duel%20Links|0
178|Duston|Duston|0
179|Earthbound|Earthbound|0
180|Edge Imp|Edge%20Imp|0
181|Egyptian God|Egyptian%20God|0
182|Eldlich|Eldlich|0
183|Elemental HERO|Elemental%20HERO|0
184|Elemental Lord|Elemental%20Lord|0
185|Elementsaber|Elementsaber|0
186|Emblema|Emblema|0
187|Empower|Empower|0
188|Empowered Warrior|Empowered%20Warrior|0
189|Endymion|Endymion|0
190|Endymion Magistus|Endymion%20Magistus|0
191|Evil Eye|Evil%20Eye|0
192|Evil HERO|Evil%20HERO|0
193|Evil★Twin|Evil%E2%98%85Twin|0
194|Evol|Evol|0
195|Evolsaur|Evolsaur|0
196|Evoltile|Evoltile|0
197|Evolzar|Evolzar|0
198|Exchange Of The Spirit|Exchange%20Of%20The%20Spirit|0
199|Exodd|Exodd|0
200|Exodia|Exodia|0
201|Exodo|Exodo|0
202|Exorsister|Exorsister|0
203|Exosister|Exosister|0
204|Eyes Restrict|Eyes%20Restrict|0
205|F.A.|F.A.|0
206|Fabled|Fabled|0
207|Fabled The Fabled|Fabled%20The%20Fabled|0
208|Fairy|Fairy|0
209|Fairy Tail|Fairy%20Tail|0
210|Fiendsmith|Fiendsmith|0
211|Fire Fist|Fire%20Fist|0
212|Fire Formation|Fire%20Formation|0
213|Fire King|Fire%20King|0
214|Firewall|Firewall|0
215|Fishborg|Fishborg|0
216|Flame Swordsman|Flame%20Swordsman|0
217|Flamvell|Flamvell|0
218|Fleur|Fleur|0
219|Flip|Flip|0
220|Floowandereeze|Floowandereeze|0
221|Flower Cardian|Flower%20Cardian|0
222|Fluffal|Fluffal|0
223|Forbidden|Forbidden|0
224|Fortune Fairy|Fortune%20Fairy|0
225|Fortune Lady|Fortune%20Lady|0
226|Fossil|Fossil|0
227|Frightfur|Frightfur|0
228|Frog|Frog|0
229|Frogs|Frogs|0
230|From The Underworld|From%20The%20Underworld|0
231|FTK|FTK|0
232|Fur Hire|Fur%20Hire|0
233|Fusion|Fusion|0
234|G Golem|G%20Golem|0
235|Gadget|Gadget|0
236|Gagaga|Gagaga|0
237|Gaia The Fierce Knight|Gaia%20The%20Fierce%20Knight|0
238|Galaxy|Galaxy|0
239|Galaxy-Eyes|Galaxy-Eyes|0
240|Gandora|Gandora|0
241|Gandora The Dragon Of Des|Gandora%20The%20Dragon%20Of%20Des|0
242|Gate Guardian|Gate%20Guardian|0
243|Geargia|Geargia|0
244|Gem-|Gem-|0
245|Gem-Knight|Gem-Knight|0
246|Generaider|Generaider|0
247|Genex|Genex|0
248|Ghostrick|Ghostrick|0
249|Ghoti|Ghoti|0
250|Gimmick Puppet|Gimmick%20Puppet|0
251|Gishki|Gishki|0
252|Gizmek|Gizmek|0
253|Glacial Beast|Glacial%20Beast|0
254|Glacial Beast Penguin|Glacial%20Beast%20Penguin|0
255|Gladiator Beast|Gladiator%20Beast|0
256|Goblin|Goblin|0
257|Gods|Gods|0
258|Gogogo|Gogogo|0
259|Gold Pride|Gold%20Pride|0
260|Gold Sarcophagus Of Light|Gold%20Sarcophagus%20Of%20Light|0
