,name,deck,type,code,imgSource,count,apperances,avgCopies,percOfDecks
42,Book of Eclipse,main_deck,Spell Card,35480699,https://images.ygoprodeck.com/images/cards_small/35480699.jpg,8,3,2.67,0.05
43,Ghost Mourner & Moonlit Chill,main_deck,Tuner Monster,52038441,https://images.ygoprodeck.com/images/cards_small/52038441.jpg,64,26,2.46,0.43
44,Forbidden Droplet,main_deck,Spell Card,24299458,https://images.ygoprodeck.com/images/cards_small/24299458.jpg,49,19,2.58,0.32
45,Pressured Planet Wraitsoth,main_deck,Spell Card,71832012,https://images.ygoprodeck.com/images/cards_small/71832012.jpg,30,17,1.76,0.28
46,Kashtira Birth,main_deck,Spell Card,69540484,https://images.ygoprodeck.com/images/cards_small/69540484.jpg,16,16,1.0,0.27
47,Kashtira Fenrir,main_deck,Effect Monster,32909498,https://images.ygoprodeck.com/images/cards_small/32909498.jpg,30,20,1.5,0.33
48,Kashtira Unicorn,main_deck,Effect Monster,68304193,https://images.ygoprodeck.com/images/cards_small/68304193.jpg,21,16,1.31,0.27
49,Ghost Ogre & Snow Rabbit,main_deck,Tuner Monster,59438931,https://images.ygoprodeck.com/images/cards_small/59438931.jpg,65,25,2.6,0.42
50,Terraforming,main_deck,Spell Card,73628505,https://images.ygoprodeck.com/images/cards_small/73628505.jpg,11,11,1.0,0.18
51,Skill Drain,main_deck,Trap Card,82732705,https://images.ygoprodeck.com/images/cards_small/82732705.jpg,7,3,2.33,0.05
52,Pot of Prosperity,main_deck,Spell Card,84211599,https://images.ygoprodeck.com/images/cards_small/84211599.jpg,9,4,2.25,0.07
53,Dark Ruler No More,main_deck,Spell Card,54693926,https://images.ygoprodeck.com/images/cards_small/54693926.jpg,6,2,3.0,0.03
54,Sinful Spoils of Betrayal - Silvera,main_deck,Trap Card,38511382,https://images.ygoprodeck.com/images/cards_small/38511382.jpg,10,10,1.0,0.17
55,Magicians' Souls,main_deck,Effect Monster,97631303,https://images.ygoprodeck.com/images/cards_small/97631303.jpg,4,2,2.0,0.03
56,Dramatic Snake-Eye Chase,main_deck,Spell Card,26700718,https://images.ygoprodeck.com/images/cards_small/26700718.jpg,6,6,1.0,0.1
57,Rescue-ACE Fire Attacker,main_deck,Effect Monster,64612053,https://images.ygoprodeck.com/images/cards_small/64612053.jpg,1,1,1.0,0.02
58,Harpie's Feather Duster,main_deck,Spell Card,18144507,https://images.ygoprodeck.com/images/cards_small/18144507.jpg,1,1,1.0,0.02
59,Jet Synchron,main_deck,Tuner Monster,9742784,https://images.ygoprodeck.com/images/cards_small/9742784.jpg,1,1,1.0,0.02
60,There Can Be Only One,main_deck,Trap Card,24207889,https://images.ygoprodeck.com/images/cards_small/24207889.jpg,1,1,1.0,0.02
61,Angel Statue - Azurune,main_deck,Trap Card,44822037,https://images.ygoprodeck.com/images/cards_small/44822037.jpg,3,3,1.0,0.05
62,Snake-Eye Birch,main_deck,Effect Monster,12058741,https://images.ygoprodeck.com/images/cards_small/12058741.jpg,2,2,1.0,0.03
63,Angel of Blue Tears,main_deck,Spell Card,91706817,https://images.ygoprodeck.com/images/cards_small/91706817.jpg,2,2,1.0,0.03
64,Dimensional Barrier,main_deck,Trap Card,83326048,https://images.ygoprodeck.com/images/cards_small/83326048.jpg,1,1,1.0,0.02
65,Appointer of the Red Lotus,main_deck,Trap Card,43262273,https://images.ygoprodeck.com/images/cards_small/43262273.jpg,1,1,1.0,0.02
66,Knightmare Phoenix,extra_deck,Link Monster,2857636,https://images.ygoprodeck.com/images/cards_small/2857636.jpg,54,54,1.0,0.9
67,Underworld Goddess of the Closed World,extra_deck,Link Monster,98127546,https://images.ygoprodeck.com/images/cards_small/98127546.jpg,24,24,1.0,0.4
68,"Hiita the Fire Charmer, Ablaze",extra_deck,Link Monster,48815792,https://images.ygoprodeck.com/images/cards_small/48815792.jpg,60,60,1.0,1.0
69,"Promethean Princess, Bestower of Flames",extra_deck,Link Monster,2772337,https://images.ygoprodeck.com/images/cards_small/2772337.jpg,67,60,1.12,1.0
70,Knightmare Unicorn,extra_deck,Link Monster,38342335,https://images.ygoprodeck.com/images/cards_small/38342335.jpg,2,2,1.0,0.03
71,S:P Little Knight,extra_deck,Link Monster,29301450,https://images.ygoprodeck.com/images/cards_small/29301450.jpg,60,60,1.0,1.0
72,Linkuriboh,extra_deck,Link Monster,41999284,https://images.ygoprodeck.com/images/cards_small/41999284.jpg,20,20,1.0,0.33
73,"Beatrice, Lady of the Eternal",extra_deck,XYZ Monster,27552504,https://images.ygoprodeck.com/images/cards_small/27552504.jpg,16,16,1.0,0.27
74,"Apollousa, Bow of the Goddess",extra_deck,Link Monster,4280258,https://images.ygoprodeck.com/images/cards_small/4280258.jpg,59,59,1.0,0.98
75,Accesscode Talker,extra_deck,Link Monster,86066372,https://images.ygoprodeck.com/images/cards_small/86066372.jpg,45,45,1.0,0.75
76,Salamangreat Raging Phoenix,extra_deck,Link Monster,57134592,https://images.ygoprodeck.com/images/cards_small/57134592.jpg,48,48,1.0,0.8
77,I:P Masquerena,extra_deck,Link Monster,65741787,https://images.ygoprodeck.com/images/cards_small/65741787.jpg,58,58,1.0,0.97
78,Worldsea Dragon Zealantis,extra_deck,Link Monster,45112597,https://images.ygoprodeck.com/images/cards_small/45112597.jpg,49,49,1.0,0.82
