,name,deck,type,code,imgSource,count,apperances,avgCopies,percOfDecks
0,Tearlaments Kashtira,main_deck,Effect Monster,4928565,https://images.ygoprodeck.com/images/cards_small/4928565.jpg,9,3,3.0,1.0
1,Lightsworn Dragonling,main_deck,Effect Monster,59481082,https://images.ygoprodeck.com/images/cards_small/59481082.jpg,9,3,3.0,1.0
2,Tearlaments Reinoheart,main_deck,Effect Monster,73956664,https://images.ygoprodeck.com/images/cards_small/73956664.jpg,8,3,2.67,1.0
3,"Wulf, Lightsworn Beast",main_deck,Effect Monster,58996430,https://images.ygoprodeck.com/images/cards_small/58996430.jpg,7,3,2.33,1.0
4,Tearlaments Havnis,main_deck,Effect Monster,37961969,https://images.ygoprodeck.com/images/cards_small/37961969.jpg,3,3,1.0,1.0
5,Tearlaments Merrli,main_deck,Effect Monster,74078255,https://images.ygoprodeck.com/images/cards_small/74078255.jpg,3,3,1.0,1.0
6,Tearlaments Scheiren,main_deck,Effect Monster,572850,https://images.ygoprodeck.com/images/cards_small/572850.jpg,3,3,1.0,1.0
7,Keldo the Sacred Protector,main_deck,Effect Monster,63542003,https://images.ygoprodeck.com/images/cards_small/63542003.jpg,3,3,1.0,1.0
8,Punishment Dragon,main_deck,Effect Monster,19959563,https://images.ygoprodeck.com/images/cards_small/19959563.jpg,3,3,1.0,1.0
9,"Imsety, Glory of Horus",main_deck,Effect Monster,84941194,https://images.ygoprodeck.com/images/cards_small/84941194.jpg,6,2,3.0,0.67
10,Beastking of the Swamps,main_deck,Effect Monster,99426834,https://images.ygoprodeck.com/images/cards_small/99426834.jpg,3,2,1.5,0.67
11,"Hapi, Guidance of Horus",main_deck,Effect Monster,47330808,https://images.ygoprodeck.com/images/cards_small/47330808.jpg,2,2,1.0,0.67
12,Mudora the Sword Oracle,main_deck,Effect Monster,99937011,https://images.ygoprodeck.com/images/cards_small/99937011.jpg,2,2,1.0,0.67
13,Danger! Nessie!,main_deck,Effect Monster,70711847,https://images.ygoprodeck.com/images/cards_small/70711847.jpg,2,1,2.0,0.33
14,Danger! Mothman!,main_deck,Effect Monster,52350806,https://images.ygoprodeck.com/images/cards_small/52350806.jpg,1,1,1.0,0.33
15,"Duamutef, Blessing of Horus",main_deck,Effect Monster,11335209,https://images.ygoprodeck.com/images/cards_small/11335209.jpg,1,1,1.0,0.33
16,Nemeses Corridor,main_deck,Effect Monster,72090076,https://images.ygoprodeck.com/images/cards_small/72090076.jpg,1,1,1.0,0.33
17,Nemeses Flag,main_deck,Effect Monster,19211362,https://images.ygoprodeck.com/images/cards_small/19211362.jpg,1,1,1.0,0.33
18,"Garoth, Lightsworn Warrior",main_deck,Effect Monster,59019082,https://images.ygoprodeck.com/images/cards_small/59019082.jpg,1,1,1.0,0.33
19,Shaddoll Squamata,main_deck,Flip Effect Monster,30328508,https://images.ygoprodeck.com/images/cards_small/30328508.jpg,1,1,1.0,0.33
20,Shaddoll Dragon,main_deck,Flip Effect Monster,77723643,https://images.ygoprodeck.com/images/cards_small/77723643.jpg,1,1,1.0,0.33
21,"Weiss, Lightsworn Archfiend",main_deck,Tuner Monster,96576187,https://images.ygoprodeck.com/images/cards_small/96576187.jpg,9,3,3.0,1.0
22,"Felis, Lightsworn Archer",main_deck,Tuner Monster,73176465,https://images.ygoprodeck.com/images/cards_small/73176465.jpg,4,3,1.33,1.0
23,"Raiden, Hand of the Lightsworn",main_deck,Tuner Monster,77558536,https://images.ygoprodeck.com/images/cards_small/77558536.jpg,1,1,1.0,0.33
24,Primeval Planet Perlereino,main_deck,Spell Card,77103950,https://images.ygoprodeck.com/images/cards_small/77103950.jpg,9,3,3.0,1.0
25,Charge of the Light Brigade,main_deck,Spell Card,94886282,https://images.ygoprodeck.com/images/cards_small/94886282.jpg,9,3,3.0,1.0
26,Tearlaments Scream,main_deck,Spell Card,6767771,https://images.ygoprodeck.com/images/cards_small/6767771.jpg,6,3,2.0,1.0
27,Triple Tactics Talent,main_deck,Spell Card,25311006,https://images.ygoprodeck.com/images/cards_small/25311006.jpg,5,2,2.5,0.67
28,King's Sarcophagus,main_deck,Spell Card,16528181,https://images.ygoprodeck.com/images/cards_small/16528181.jpg,5,2,2.5,0.67
29,Foolish Burial,main_deck,Spell Card,81439174,https://images.ygoprodeck.com/images/cards_small/81439174.jpg,2,2,1.0,0.67
30,Tearlaments Grief,main_deck,Spell Card,33878367,https://images.ygoprodeck.com/images/cards_small/33878367.jpg,1,1,1.0,0.33
31,Monster Reborn,main_deck,Spell Card,83764719,https://images.ygoprodeck.com/images/cards_small/83764719.jpg,1,1,1.0,0.33
32,Tearlaments Sulliek,main_deck,Trap Card,74920585,https://images.ygoprodeck.com/images/cards_small/74920585.jpg,6,3,2.0,1.0
33,Lightsworn Aegis,main_deck,Trap Card,25218587,https://images.ygoprodeck.com/images/cards_small/25218587.jpg,2,2,1.0,0.67
34,Tearlaments Cryme,main_deck,Trap Card,1329620,https://images.ygoprodeck.com/images/cards_small/1329620.jpg,1,1,1.0,0.33
35,Trivikarma,main_deck,Trap Card,7436169,https://images.ygoprodeck.com/images/cards_small/7436169.jpg,1,1,1.0,0.33
36,The Black Goat Laughs,main_deck,Trap Card,49299410,https://images.ygoprodeck.com/images/cards_small/49299410.jpg,1,1,1.0,0.33
37,Tearlaments Kaleido-Heart,extra_deck,Fusion Monster,28226490,https://images.ygoprodeck.com/images/cards_small/28226490.jpg,3,3,1.0,1.0
38,Mudragon of the Swamp,extra_deck,Fusion Monster,54757758,https://images.ygoprodeck.com/images/cards_small/54757758.jpg,3,3,1.0,1.0
39,"Garura, Wings of Resonant Life",extra_deck,Fusion Monster,11765832,https://images.ygoprodeck.com/images/cards_small/11765832.jpg,3,3,1.0,1.0
40,Tearlaments Rulkallos,extra_deck,Fusion Monster,84330567,https://images.ygoprodeck.com/images/cards_small/84330567.jpg,2,2,1.0,0.67
41,Predaplant Dragostapelia,extra_deck,Fusion Monster,69946549,https://images.ygoprodeck.com/images/cards_small/69946549.jpg,1,1,1.0,0.33
42,El Shaddoll Winda,extra_deck,Fusion Monster,94977270,https://images.ygoprodeck.com/images/cards_small/94977270.jpg,1,1,1.0,0.33
43,Thunder Dragon Colossus,extra_deck,Fusion Monster,15291624,https://images.ygoprodeck.com/images/cards_small/15291624.jpg,1,1,1.0,0.33
44,"Grapha, Dragon Overlord of Dark World",extra_deck,Fusion Monster,39552584,https://images.ygoprodeck.com/images/cards_small/39552584.jpg,1,1,1.0,0.33
