,name,type,deck,code,imgSource
23,Mikanko Fire Dance,Spell Card,main_deck,80044027,https://images.ygoprodeck.com/images/cards_small/80044027.jpg
24,Mikanko Reflection Rondo,Spell Card,main_deck,79912449,https://images.ygoprodeck.com/images/cards_small/79912449.jpg
25,Mikanko Water Arabesque,Spell Card,main_deck,43527730,https://images.ygoprodeck.com/images/cards_small/43527730.jpg
26,Mikanko Water Arabesque,Spell Card,main_deck,43527730,https://images.ygoprodeck.com/images/cards_small/43527730.jpg
27,Mikanko Water Arabesque,Spell Card,main_deck,43527730,https://images.ygoprodeck.com/images/cards_small/43527730.jpg
28,Snatch Steal,Spell Card,main_deck,45986603,https://images.ygoprodeck.com/images/cards_small/45986603.jpg
29,Nadir Servant,Spell Card,main_deck,1984618,https://images.ygoprodeck.com/images/cards_small/1984618.jpg
30,Nadir Servant,Spell Card,main_deck,1984618,https://images.ygoprodeck.com/images/cards_small/1984618.jpg
31,Nadir Servant,Spell Card,main_deck,1984618,https://images.ygoprodeck.com/images/cards_small/1984618.jpg
32,Preparation of Rites,Spell Card,main_deck,96729612,https://images.ygoprodeck.com/images/cards_small/96729612.jpg
33,Preparation of Rites,Spell Card,main_deck,96729612,https://images.ygoprodeck.com/images/cards_small/96729612.jpg
34,Called by the Grave,Spell Card,main_deck,24224830,https://images.ygoprodeck.com/images/cards_small/24224830.jpg
35,The Great Mikanko Ceremony,Spell Card,main_deck,44649322,https://images.ygoprodeck.com/images/cards_small/44649322.jpg
36,The Great Mikanko Ceremony,Spell Card,main_deck,44649322,https://images.ygoprodeck.com/images/cards_small/44649322.jpg
37,Infinite Impermanence,Trap Card,main_deck,10045474,https://images.ygoprodeck.com/images/cards_small/10045474.jpg
38,Mikanko Rivalry,Trap Card,main_deck,78199891,https://images.ygoprodeck.com/images/cards_small/78199891.jpg
39,Mikanko Spiritwalk,Trap Card,main_deck,53174748,https://images.ygoprodeck.com/images/cards_small/53174748.jpg
40,"Garura, Wings of Resonant Life",Fusion Monster,extra_deck,11765832,https://images.ygoprodeck.com/images/cards_small/11765832.jpg
41,"Garura, Wings of Resonant Life",Fusion Monster,extra_deck,11765832,https://images.ygoprodeck.com/images/cards_small/11765832.jpg
42,Elder Entity N'tss,Fusion Monster,extra_deck,80532587,https://images.ygoprodeck.com/images/cards_small/80532587.jpg
43,Elder Entity N'tss,Fusion Monster,extra_deck,80532587,https://images.ygoprodeck.com/images/cards_small/80532587.jpg
44,PSY-Framelord Omega,Synchro Monster,extra_deck,74586817,https://images.ygoprodeck.com/images/cards_small/74586817.jpg
45,Wind Pegasus @Ignister,Synchro Monster,extra_deck,98506199,https://images.ygoprodeck.com/images/cards_small/98506199.jpg
46,Golden Cloud Beast - Malong,Synchro Monster,extra_deck,93125329,https://images.ygoprodeck.com/images/cards_small/93125329.jpg
47,Herald of the Arc Light,Synchro Monster,extra_deck,79606837,https://images.ygoprodeck.com/images/cards_small/79606837.jpg
48,Herald of the Arc Light,Synchro Monster,extra_deck,79606837,https://images.ygoprodeck.com/images/cards_small/79606837.jpg
49,Tri-Brigade Arms Bucephalus II,Link Monster,extra_deck,10019086,https://images.ygoprodeck.com/images/cards_small/10019086.jpg
50,Knightmare Phoenix,Link Monster,extra_deck,2857636,https://images.ygoprodeck.com/images/cards_small/2857636.jpg
51,"Donner, Dagger Fur Hire",Link Monster,extra_deck,8728498,https://images.ygoprodeck.com/images/cards_small/8728498.jpg
52,Tri-Brigade Ferrijit the Barren Blossom,Link Monster,extra_deck,26847978,https://images.ygoprodeck.com/images/cards_small/26847978.jpg
53,Secure Gardna,Link Monster,extra_deck,2220237,https://images.ygoprodeck.com/images/cards_small/2220237.jpg
54,Salamangreat Almiraj,Link Monster,extra_deck,60303245,https://images.ygoprodeck.com/images/cards_small/60303245.jpg
55,"Jizukiru, the Star Destroying Kaiju",Effect Monster,side_deck,63941210,https://images.ygoprodeck.com/images/cards_small/63941210.jpg
56,"Thunder King, the Lightningstrike Kaiju",Effect Monster,side_deck,48770333,https://images.ygoprodeck.com/images/cards_small/48770333.jpg
57,"Gadarla, the Mystery Dust Kaiju",Effect Monster,side_deck,36956512,https://images.ygoprodeck.com/images/cards_small/36956512.jpg
58,"Radian, the Multidimensional Kaiju",Effect Monster,side_deck,28674152,https://images.ygoprodeck.com/images/cards_small/28674152.jpg
59,Droll &amp; Lock Bird,Effect Monster,side_deck,94145021,https://images.ygoprodeck.com/images/cards_small/94145021.jpg
60,Dimensional Fissure,Spell Card,side_deck,81674782,https://images.ygoprodeck.com/images/cards_small/81674782.jpg
61,Dimensional Fissure,Spell Card,side_deck,81674782,https://images.ygoprodeck.com/images/cards_small/81674782.jpg
62,Harpie's Feather Duster,Spell Card,side_deck,18144507,https://images.ygoprodeck.com/images/cards_small/18144507.jpg
63,Interrupted Kaiju Slumber,Spell Card,side_deck,99330325,https://images.ygoprodeck.com/images/cards_small/99330325.jpg
64,Interrupted Kaiju Slumber,Spell Card,side_deck,99330325,https://images.ygoprodeck.com/images/cards_small/99330325.jpg
65,Interrupted Kaiju Slumber,Spell Card,side_deck,99330325,https://images.ygoprodeck.com/images/cards_small/99330325.jpg
66,There Can Be Only One,Trap Card,side_deck,24207889,https://images.ygoprodeck.com/images/cards_small/24207889.jpg
67,Solemn Judgment,Trap Card,side_deck,41420027,https://images.ygoprodeck.com/images/cards_small/41420027.jpg
68,Solemn Judgment,Trap Card,side_deck,41420027,https://images.ygoprodeck.com/images/cards_small/41420027.jpg
69,Solemn Judgment,Trap Card,side_deck,41420027,https://images.ygoprodeck.com/images/cards_small/41420027.jpg
