|name|type|deck|code|imgSource|deckID|date|format|tag1|tag2|tag3|(33, 'code')|(34, 'code')|(35, 'code')|(74, 'code')|(75, 'code')|(76, 'code')|(117, 'code')|(118, 'code')|(119, 'code')|(154, 'code')|(155, 'code')|(156, 'code')|(226, 'code')|(227, 'code')|(228, 'code')|(276, 'code')|(277, 'code')|(278, 'code')|(0, 'code')|(1, 'code')|(2, 'code')|(40, 'code')|(41, 'code')|(42, 'code')|(83, 'code')|(84, 'code')|(85, 'code')|(123, 'code')|(124, 'code')|(125, 'code')|(164, 'code')|(165, 'code')|(166, 'code')|(208, 'code')|(209, 'code')|(210, 'code')|(245, 'code')|(246, 'code')|(247, 'code')|(12, 'code')|(13, 'code')|(14, 'code')|(54, 'code')|(55, 'code')|(56, 'code')|(135, 'code')|(136, 'code')|(137, 'code')|(178, 'code')|(179, 'code')|(180, 'code')|(23, 'code')|(30, 'code')|(31, 'code')|(32, 'code')|(70, 'code')|(71, 'code')|(72, 'code')|(113, 'code')|(114, 'code')|(115, 'code')|(150, 'code')|(151, 'code')|(152, 'code')|(190, 'code')|(191, 'code')|(192, 'code')|(220, 'code')|(221, 'code')|(222, 'code')|(270, 'code')|(271, 'code')|(272, 'code')|(195, 'code')|(196, 'code')|(197, 'code')|(25, 'code')|(79, 'code')|(160, 'code')|(198, 'code')|(10, 'code')|(51, 'code')|(93, 'code')|(133, 'code')|(175, 'code')|(216, 'code')|(255, 'code')|(3, 'code')|(4, 'code')|(5, 'code')|(43, 'code')|(44, 'code')|(45, 'code')|(86, 'code')|(87, 'code')|(88, 'code')|(126, 'code')|(127, 'code')|(128, 'code')|(167, 'code')|(168, 'code')|(169, 'code')|(205, 'code')|(206, 'code')|(207, 'code')|(248, 'code')|(249, 'code')|(250, 'code')|(202, 'code')|(203, 'code')|(204, 'code')|(242, 'code')|(243, 'code')|(244, 'code')|(282, 'code')|(283, 'code')|(284, 'code')|(77, 'code')|(78, 'code')|(157, 'code')|(158, 'code')|(159, 'code')|(223, 'code')|(224, 'code')|(274, 'code')|(275, 'code')|(29, 'code')|(73, 'code')|(116, 'code')|(153, 'code')|(193, 'code')|(194, 'code')|(225, 'code')|(273, 'code')|(15, 'code')|(16, 'code')|(17, 'code')|(57, 'code')|(58, 'code')|(59, 'code')|(95, 'code')|(96, 'code')|(97, 'code')|(138, 'code')|(139, 'code')|(140, 'code')|(181, 'code')|(182, 'code')|(183, 'code')|(229, 'code')|(230, 'code')|(231, 'code')|(257, 'code')|(258, 'code')|(259, 'code')|(24, 'code')|(36, 'code')|(20, 'code')|(21, 'code')|(22, 'code')|(64, 'code')|(65, 'code')|(66, 'code')|(98, 'code')|(99, 'code')|(100, 'code')|(141, 'code')|(142, 'code')|(143, 'code')|(184, 'code')|(185, 'code')|(186, 'code')|(236, 'code')|(237, 'code')|(238, 'code')|(260, 'code')|(261, 'code')|(262, 'code')|(8, 'code')|(9, 'code')|(48, 'code')|(49, 'code')|(50, 'code')|(91, 'code')|(92, 'code')|(131, 'code')|(132, 'code')|(172, 'code')|(173, 'code')|(174, 'code')|(211, 'code')|(212, 'code')|(253, 'code')|(254, 'code')|(6, 'code')|(7, 'code')|(46, 'code')|(47, 'code')|(89, 'code')|(90, 'code')|(129, 'code')|(130, 'code')|(170, 'code')|(171, 'code')|(213, 'code')|(214, 'code')|(251, 'code')|(252, 'code')|(26, 'code')|(27, 'code')|(28, 'code')|(67, 'code')|(68, 'code')|(69, 'code')|(110, 'code')|(111, 'code')|(112, 'code')|(147, 'code')|(148, 'code')|(149, 'code')|(187, 'code')|(188, 'code')|(189, 'code')|(217, 'code')|(218, 'code')|(219, 'code')|(267, 'code')|(268, 'code')|(269, 'code')|(144, 'code')|(145, 'code')|(146, 'code')|(60, 'code')|(61, 'code')|(104, 'code')|(105, 'code')|(106, 'code')|(232, 'code')|(233, 'code')|(234, 'code')|(263, 'code')|(264, 'code')|(265, 'code')|(11, 'code')|(53, 'code')|(94, 'code')|(134, 'code')|(177, 'code')|(215, 'code')|(256, 'code')|(37, 'code')|(38, 'code')|(39, 'code')|(80, 'code')|(81, 'code')|(82, 'code')|(120, 'code')|(121, 'code')|(122, 'code')|(161, 'code')|(162, 'code')|(163, 'code')|(199, 'code')|(200, 'code')|(201, 'code')|(239, 'code')|(240, 'code')|(241, 'code')|(279, 'code')|(280, 'code')|(281, 'code')|(108, 'code')|(109, 'code')|(52, 'code')|(176, 'code')|(107, 'code')|(18, 'code')|(19, 'code')|(62, 'code')|(63, 'code')|(101, 'code')|(102, 'code')|(103, 'code')|(235, 'code')|(266, 'code')
0|Couplet the Melodious Songstress|Pendulum Effect Monster|main_deck|90276649|https://images.ygoprodeck.com/images/cards_small/90276649.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
1|Couplet the Melodious Songstress|Pendulum Effect Monster|main_deck|90276649|https://images.ygoprodeck.com/images/cards_small/90276649.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
2|Couplet the Melodious Songstress|Pendulum Effect Monster|main_deck|90276649|https://images.ygoprodeck.com/images/cards_small/90276649.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
3|Refrain the Melodious Songstress|Pendulum Effect Monster|main_deck|64881644|https://images.ygoprodeck.com/images/cards_small/64881644.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
4|Refrain the Melodious Songstress|Pendulum Effect Monster|main_deck|64881644|https://images.ygoprodeck.com/images/cards_small/64881644.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
5|Refrain the Melodious Songstress|Pendulum Effect Monster|main_deck|64881644|https://images.ygoprodeck.com/images/cards_small/64881644.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
6|Soprano the Melodious Songstress|Effect Monster|main_deck|62895219|https://images.ygoprodeck.com/images/cards_small/62895219.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
7|Soprano the Melodious Songstress|Effect Monster|main_deck|62895219|https://images.ygoprodeck.com/images/cards_small/62895219.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
8|Sonata the Melodious Diva|Effect Monster|main_deck|76990617|https://images.ygoprodeck.com/images/cards_small/76990617.jpg|507119|2024-06-28|TCG|Melodious|PSY-Frame|Herald|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|84211599|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|90276649|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|17266660|38814750|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|44256816|35261759|35261759|35261759|24224830|24224830|24224830|24224830|5908650|5908650|5908650|5908650|5908650|5908650|5908650|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|64881644|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|97045737|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|25311006|31458630|31458630|31458630|31458630|31458630|31458630|31458630|31458630|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|14558127|49036338|90846359|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|97268402|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|76990617|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|62895219|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|9113513|94145021|94145021|94145021|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|52038441|40502912|40502912|40502912|40502912|40502912|40502912|40502912|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|10045474|89558743|89558743|16021142|16021142|27204311|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930|59438930
